Full Name,Email Address,Stellar Wallet Address,Rating,Product Feedback
Anjali Malhotra,anjali.malhotra596@outlook.com,GUMCCAOXMWHAZ2XORPYDWTCDLCGABNWYWDCVI3XAXEIC6VF4XHAF7YMP,5,"Really appreciate that there are no intermediaries. Direct payment is the future."
Kriti Reddy,kriti.reddy459@gmail.com,GBG63YSBTE4XXYW7PL4F2VTFEQIWDVSIXSM6JWQ55JSTDYO6XBLDXDUY,5,"The loading spinner doesn't always appear when a transaction is processing. Minor UX bug."
Ananya Chopra,ananya.chopra820@gmail.com,GKFHQVWD7HT63QORG6L2K66O2ZICJAGDIJVX54RPWVFILBRVCRZ7HPJE,5,"Stellar blockchain makes this so trustworthy. Every transaction is verifiable."
Arjun Iyer,arjun.iyer450@gmail.com,G5PWTRRRRX4QVRU37OUW6K4MWXF5M57SVQEEQYSQZRMUZN2CQ54L4J3V,5,"Would like to see a chat or help button inside the app for quick support."
Aditya Mehta,aditya.mehta181@gmail.com,GDEI457ESWAK7S2WHXIUSYRIV5AWNUQJRW2EXDDBF6EGT2CGUMGPWPFO,5,"My daughter's university confirmed receipt instantly. No more waiting 3-5 days like SWIFT!"
Vikram Iyer,vikram.iyer74@gmail.com,GXMDMQEC4FAHLK37IDJOK2O452JCBMD3ZE7AEYQLSA45LVW3SDKQ7N6V,5,"Export to CSV for transaction history would be very useful for my annual accounting."
Karan Iyer,karan.iyer715@outlook.com,G3BCBXUB63YIIN6WUG4ISQO5OCWK25YNMCDSYI4SAUHICWUMFKTOWF4R,5,"The university directory needs more institutions. Some smaller private colleges are missing."
Kriti Joshi,kriti.joshi402@gmail.com,G7DJWUWM4FWTKVVMBZS7ZXWU6MJFWMQLSVG6QM4DWEB2NQXPFPHLFRJE,5,"Can you add SMS alerts when tuition is received? The university admin was asking for this."
Rahul Malhotra,rahul.malhotra515@outlook.com,GAPUE6QPEUKC7NOMZ6U35N7WCC4HAG64KK2TDIL6XQD4DO6YC6O2BLK3,5,"The token balance updates in real-time which is great. No need to refresh manually."
Shruti Kumar,shruti.kumar663@outlook.com,GUJSLODW7XNYDNPERUBHW52JBFHN5MGRTYA4EHATERUQJR4OXEQKBTXC,5,"Would love the ability to set a monthly spending limit for my student right from the parent dashboard."
Ananya Chopra,ananya.chopra545@yahoo.in,GWA42FX3ZEYNTFETDXE7RK3NXQZY5TO7AULS2MTRITISRTPJA3UK7RVF,4,"The app could benefit from a simple FAQ section for first-time blockchain users."
Kabir Mehta,kabir.mehta694@yahoo.in,GJLFHXSEBEWWBGS4PSO34BTX5PAQFCDVY5U47X6FEM4LJVM4RVZ44GFV,5,"As a student I love the AI budget advisor. It broke down my spending in a way I could actually act on."
Riya Mehta,riya.mehta529@yahoo.in,GKDIPEDWZDKFPU5G3JTPLUUFR6UUVBBBWWEJMKLEAYMHNKKEAYJPVODG,5,"It took me a while to find the expense logging feature. The navigation could be more intuitive."
Sanjay Sharma,sanjay.sharma139@outlook.com,GUNNXHAH3KYB37RHJ767VODDW2JG3XPH2PA4DNUPDL437ILHVH66NWCC,5,"I particularly liked the PostHog analytics integration — shows the team is serious about product growth."
Vihaan Desai,vihaan.desai918@outlook.com,GFFKQTJNE7HCB7VSLHHWY53IITURBLOF7WWOYU5PQIJW2PGKMZAEK2ZV,5,"As a student receiving funds, the XLM conversion to local currency step could be made simpler."
Aditya Yadav,aditya.yadav804@yahoo.in,GBEOZIOHP4AN65GMFRVTX3G4ICNYABYGYBIOFO4F4LLBZ2L2HJ5HXM5I,5,"Excellent concept. Education remittance has always been painful and this solves it."
Krishna Das,krishna.das682@yahoo.in,GGUBQW2FXUMRUPGON2WTC6XSOFIV4IBRLTYGLGR3LH6MY5ZNOMBQ4LZO,4,"It would be great if you could add a payment confirmation email sent automatically to both parent and student."
Aryan Kumar,aryan.kumar324@outlook.com,G4SPMXR6C6T3YFUSUAU6USIWASSKEM5JXF52AQF3J3RRUTHENWNYO7S6,5,"The expense logging for students is a fantastic idea. Keeps everyone accountable."
Sai Sharma,sai.sharma992@yahoo.in,GBKZXQ6NQCG7I5GSC7QIFJGUPEEPKGMNYCLEO7E2MGPSEDRFPCYVD7E3,5,"Security is top-notch. I feel much safer using this than sharing bank account details."
Aryan Trivedi,aryan.trivedi316@yahoo.in,GMYOHHGUYKYNMPVX5EMBCUBF4MJ6T66MDTMI4SMOBI762JTNFBRY2WX7,5,"The AI budget advisor actually gave me a specific tip to cut my food delivery spending. Very accurate."
Myra Joshi,myra.joshi241@gmail.com,GSWK7P272HS3BGEP4L2LTHOB2Q4KYXWC4XNICR6GD5SQH4F43D2JJWU3,5,"Please consider adding a referral program. I want to recommend this to other parents in my building."
Kabir Sharma,kabir.sharma52@yahoo.in,G7PEIJ7YDQIZ6QLNMTZQSYUAMTQ2IRMKCTBRQVNXTOJ4LLNITB5YM4IM,4,"The page sometimes lags when loading the full transaction history for older records."
Varun Das,varun.das887@yahoo.in,GE6NYURGKCZI34GESLZ2MNKPT6DOXRU2ORUNJFXWEDJWFOKZFIQ5JJOC,4,"This is the kind of fintech product India needs. Keep building, the vision is clear."
Shaurya Bose,shaurya.bose786@gmail.com,G3SGD5MIJOBT6GRHVYTDB2GTHJ3SECWLSNAYD4733YFLFQGIMZEUJQGV,5,"The Sentry error tracking shows the team is proactive about quality. Impressive for an MVP."
Ishaan Das,ishaan.das941@yahoo.in,G5UF5766PW7NLWKF5KHIIJTB53M5D2DRAOO7SSZPVK4KZQK3GWAR7EJI,5,"Would love a two-factor authentication option before sending large transactions."
